{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'b_num_col': 89478, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 1.049670387344203, 'speedup_best': 1.0490553474823137, 'xsmm_local_avg': 60.17795833333333, 'xsmm_local_best': 60.075, 'xsmm_upstream_avg': 63.16702083333331, 'xsmm_upstream_best': 63.022}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'b_num_col': 89478, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m132.txt', 'speedup_avg': 1.1043117737668684, 'speedup_best': 1.1039665970772443, 'xsmm_local_avg': 69.68033333333334, 'xsmm_local_best': 69.455, 'xsmm_upstream_avg': 76.94881249999999, 'xsmm_upstream_best': 76.676}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'b_num_col': 89478, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m460.txt', 'speedup_avg': 0.998352116360195, 'speedup_best': 0.9993446520559636, 'xsmm_local_avg': 65.86731249999998, 'xsmm_local_best': 65.614, 'xsmm_upstream_avg': 65.75877083333332, 'xsmm_upstream_best': 65.571}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'b_num_col': 155344, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0368142987444193, 'speedup_best': 1.0371716998887843, 'xsmm_local_avg': 70.28122916666668, 'xsmm_local_best': 70.134, 'xsmm_upstream_avg': 72.86858333333333, 'xsmm_upstream_best': 72.741}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 155344, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.1128714431078026, 'speedup_best': 1.1132362529884807, 'xsmm_local_avg': 96.80150000000002, 'xsmm_local_best': 96.621, 'xsmm_upstream_avg': 107.72762499999997, 'xsmm_upstream_best': 107.562}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'b_num_col': 51781, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0980225998629247, 'speedup_best': 1.0988306171836657, 'xsmm_local_avg': 59.27395833333333, 'xsmm_local_best': 59.091, 'xsmm_upstream_avg': 65.08414583333334, 'xsmm_upstream_best': 64.931}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'b_num_col': 51781, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 7.052275342980816, 'speedup_best': 6.865638280258293, 'xsmm_local_avg': 72.696, 'xsmm_local_best': 72.476, 'xsmm_upstream_avg': 512.6722083333334, 'xsmm_upstream_best': 497.594}
{'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'b_num_col': 51781, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 5.467307610083255, 'speedup_best': 5.4310985733386214, 'xsmm_local_avg': 68.21541666666666, 'xsmm_local_best': 68.061, 'xsmm_upstream_avg': 372.9546666666667, 'xsmm_upstream_best': 369.64599999999996}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 155344, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m0.txt', 'speedup_avg': 1.0893735250877175, 'speedup_best': 1.0975201582230336, 'xsmm_local_avg': 106.1238958333333, 'xsmm_local_best': 105.168, 'xsmm_upstream_avg': 115.60856250000002, 'xsmm_upstream_best': 115.424}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 155344, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m3.txt', 'speedup_avg': 1.1174599890905836, 'speedup_best': 1.1172261970280684, 'xsmm_local_avg': 96.47629166666667, 'xsmm_local_best': 96.301, 'xsmm_upstream_avg': 107.80839583333331, 'xsmm_upstream_best': 107.59}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'b_num_col': 51781, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m6.txt', 'speedup_avg': 1.096526372470006, 'speedup_best': 1.096136917659805, 'xsmm_local_avg': 59.19604166666668, 'xsmm_local_best': 59.072, 'xsmm_upstream_avg': 64.91002083333335, 'xsmm_upstream_best': 64.751}
{'a_cols': 648, 'a_nonzero': 3888, 'a_rows': 216, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'b_num_col': 51781, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m132.txt', 'speedup_avg': 6.8059596882511135, 'speedup_best': 6.582598432506266, 'xsmm_local_avg': 75.67789583333332, 'xsmm_local_best': 75.407, 'xsmm_upstream_avg': 515.0607083333335, 'xsmm_upstream_best': 496.374}
{'a_cols': 216, 'a_nonzero': 3888, 'a_rows': 648, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'b_num_col': 51781, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m460.txt', 'speedup_avg': 5.329561919468134, 'speedup_best': 5.24587169159954, 'xsmm_local_avg': 69.77931249999999, 'xsmm_local_best': 69.52, 'xsmm_upstream_avg': 371.8931666666667, 'xsmm_upstream_best': 364.693}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'b_num_col': 97826, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.044729017907853, 'speedup_best': 1.045320823725849, 'xsmm_local_avg': 63.09150000000002, 'xsmm_local_best': 62.885, 'xsmm_upstream_avg': 65.91352083333332, 'xsmm_upstream_best': 65.735}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'b_num_col': 97826, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.1444892957768142, 'speedup_best': 1.144392364240931, 'xsmm_local_avg': 100.24372916666668, 'xsmm_local_best': 99.846, 'xsmm_upstream_avg': 114.72787500000004, 'xsmm_upstream_best': 114.263}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'b_num_col': 32608, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9992387001413121, 'speedup_best': 0.9988994811839867, 'xsmm_local_avg': 70.2198125, 'xsmm_local_best': 69.967, 'xsmm_upstream_avg': 70.16635416666666, 'xsmm_upstream_best': 69.89}
{'a_cols': 1029, 'a_nonzero': 6468, 'a_rows': 343, 'a_size': 352947, 'a_unique': 44, 'alpha': 1.0, 'b_num_col': 32608, 'beta': 0.0, 'density': 0.018325697625989172, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0055160069163394, 'speedup_best': 0.9981074763876561, 'xsmm_local_avg': 1442.5743333333332, 'xsmm_local_best': 1413.9850000000001, 'xsmm_upstream_avg': 1450.5315833333334, 'xsmm_upstream_best': 1411.309}
{'a_cols': 343, 'a_nonzero': 6468, 'a_rows': 1029, 'a_size': 352947, 'a_unique': 44, 'alpha': 1.0, 'b_num_col': 32608, 'beta': 0.0, 'density': 0.018325697625989172, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0334189611094398, 'speedup_best': 1.0106824646437578, 'xsmm_local_avg': 555.1888124999999, 'xsmm_local_best': 552.307, 'xsmm_upstream_avg': 573.7426458333334, 'xsmm_upstream_best': 558.207}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'b_num_col': 97826, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m0.txt', 'speedup_avg': 1.1797833245383462, 'speedup_best': 1.1827567188702874, 'xsmm_local_avg': 175.80247916666664, 'xsmm_local_best': 174.062, 'xsmm_upstream_avg': 207.40883333333332, 'xsmm_upstream_best': 205.873}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'b_num_col': 97826, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m3.txt', 'speedup_avg': 1.1576591395488927, 'speedup_best': 1.1571123978132802, 'xsmm_local_avg': 99.36018750000001, 'xsmm_local_best': 98.961, 'xsmm_upstream_avg': 115.02522916666665, 'xsmm_upstream_best': 114.50900000000001}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'b_num_col': 32608, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m6.txt', 'speedup_avg': 0.996085940033715, 'speedup_best': 1.101046177186384, 'xsmm_local_avg': 70.14774999999999, 'xsmm_local_best': 63.278, 'xsmm_upstream_avg': 69.87318750000001, 'xsmm_upstream_best': 69.672}
{'a_cols': 1029, 'a_nonzero': 7056, 'a_rows': 343, 'a_size': 352947, 'a_unique': 48, 'alpha': 1.0, 'b_num_col': 32608, 'beta': 0.0, 'density': 0.019991670137442734, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m132.txt', 'speedup_avg': 0.9908651183940798, 'speedup_best': 0.9895088637439893, 'xsmm_local_avg': 1431.6277499999999, 'xsmm_local_best': 1397.942, 'xsmm_upstream_avg': 1418.55, 'xsmm_upstream_best': 1383.2759999999998}
{'a_cols': 343, 'a_nonzero': 7056, 'a_rows': 1029, 'a_size': 352947, 'a_unique': 48, 'alpha': 1.0, 'b_num_col': 32608, 'beta': 0.0, 'density': 0.019991670137442734, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m460.txt', 'speedup_avg': 1.033109314802876, 'speedup_best': 1.0163057052774087, 'xsmm_local_avg': 554.6664166666668, 'xsmm_local_best': 552.506, 'xsmm_upstream_avg': 573.0310416666667, 'xsmm_upstream_best': 561.515}
