{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.028278258045752, 'speedup_best': 1.0294248162461777, 'xsmm_local_avg': 124.20245833333327, 'xsmm_local_best': 123.943, 'xsmm_upstream_avg': 127.71468750000001, 'xsmm_upstream_best': 127.59}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.05889291336427, 'speedup_best': 1.0569479804129307, 'xsmm_local_avg': 190.24218749999997, 'xsmm_local_best': 189.717, 'xsmm_upstream_avg': 201.4461041666667, 'xsmm_upstream_best': 200.521}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0255420097759196, 'speedup_best': 1.0261205079004099, 'xsmm_local_avg': 338.29725, 'xsmm_local_best': 337.70399999999995, 'xsmm_upstream_avg': 346.9380416666667, 'xsmm_upstream_best': 346.525}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m0.txt', 'speedup_avg': 1.0883055732622144, 'speedup_best': 1.0890507556197926, 'xsmm_local_avg': 315.48735416666665, 'xsmm_local_best': 314.11300000000006, 'xsmm_upstream_avg': 343.3466458333334, 'xsmm_upstream_best': 342.085}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m3.txt', 'speedup_avg': 1.0637579239815387, 'speedup_best': 1.0611886721421868, 'xsmm_local_avg': 189.1706041666666, 'xsmm_local_best': 188.597, 'xsmm_upstream_avg': 201.2317291666667, 'xsmm_upstream_best': 200.137}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m6.txt', 'speedup_avg': 1.0213179796542342, 'speedup_best': 1.0213825511289751, 'xsmm_local_avg': 338.70275000000004, 'xsmm_local_best': 338.36, 'xsmm_upstream_avg': 345.9232083333332, 'xsmm_upstream_best': 345.595}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9969844608516487, 'speedup_best': 1.1871727748691099, 'xsmm_local_avg': 1.941333333333333, 'xsmm_local_best': 1.528, 'xsmm_upstream_avg': 1.9354791666666669, 'xsmm_upstream_best': 1.814}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9864636209813877, 'speedup_best': 1.0946314831665152, 'xsmm_local_avg': 1.23125, 'xsmm_local_best': 1.099, 'xsmm_upstream_avg': 1.2145833333333336, 'xsmm_upstream_best': 1.203}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 64, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9926686652221661, 'speedup_best': 1.152222222222222, 'xsmm_local_avg': 2.1056874999999997, 'xsmm_local_best': 1.8, 'xsmm_upstream_avg': 2.0902499999999997, 'xsmm_upstream_best': 2.074}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9742743843513607, 'speedup_best': 1.0343053173241852, 'xsmm_local_avg': 1.2503750000000002, 'xsmm_local_best': 1.166, 'xsmm_upstream_avg': 1.218208333333333, 'xsmm_upstream_best': 1.206}
