{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m460.txt', 'speedup_avg': 0.9551644539596601, 'speedup_best': 0.9603692388078116, 'xsmm_local_avg': 139.11441666666664, 'xsmm_local_best': 137.797, 'xsmm_upstream_avg': 132.8771458333333, 'xsmm_upstream_best': 132.336}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0049989388484377, 'speedup_best': 1.0043527933280019, 'xsmm_local_avg': 87.66027083333334, 'xsmm_local_best': 87.53, 'xsmm_upstream_avg': 88.09847916666666, 'xsmm_upstream_best': 87.911}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9244694246620381, 'speedup_best': 0.9252731441931568, 'xsmm_local_avg': 111.5141666666667, 'xsmm_local_best': 111.205, 'xsmm_upstream_avg': 103.09143749999998, 'xsmm_upstream_best': 102.895}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9378284089324415, 'speedup_best': 0.9368639176154065, 'xsmm_local_avg': 207.36025000000004, 'xsmm_local_best': 207.029, 'xsmm_upstream_avg': 194.46833333333333, 'xsmm_upstream_best': 193.958}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m0.txt', 'speedup_avg': 1.0032021826139192, 'speedup_best': 1.0023719499307202, 'xsmm_local_avg': 128.01164583333335, 'xsmm_local_best': 127.743, 'xsmm_upstream_avg': 128.42156250000002, 'xsmm_upstream_best': 128.046}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m3.txt', 'speedup_avg': 0.9195203781689582, 'speedup_best': 0.9193583118001722, 'xsmm_local_avg': 111.78425, 'xsmm_local_best': 111.456, 'xsmm_upstream_avg': 102.78789583333337, 'xsmm_upstream_best': 102.468}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m6.txt', 'speedup_avg': 0.9362262408489151, 'speedup_best': 0.9364803887539049, 'xsmm_local_avg': 207.90454166666666, 'xsmm_local_best': 207.432, 'xsmm_upstream_avg': 194.64568749999998, 'xsmm_upstream_best': 194.256}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0087221243919506, 'speedup_best': 1.0089489298060657, 'xsmm_local_avg': 122.57860416666666, 'xsmm_local_best': 122.361, 'xsmm_upstream_avg': 123.64775000000002, 'xsmm_upstream_best': 123.456}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9801231873312856, 'speedup_best': 0.9806767033990378, 'xsmm_local_avg': 168.17543749999996, 'xsmm_local_best': 167.518, 'xsmm_upstream_avg': 164.83264583333337, 'xsmm_upstream_best': 164.281}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0186891272300154, 'speedup_best': 1.0199800168897495, 'xsmm_local_avg': 324.3017500000001, 'xsmm_local_best': 323.273, 'xsmm_upstream_avg': 330.3626666666667, 'xsmm_upstream_best': 329.732}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m0.txt', 'speedup_avg': 1.0914584802885705, 'speedup_best': 1.0868235726829196, 'xsmm_local_avg': 278.4530833333333, 'xsmm_local_best': 277.321, 'xsmm_upstream_avg': 303.9199791666667, 'xsmm_upstream_best': 301.399}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m3.txt', 'speedup_avg': 0.9790804740376179, 'speedup_best': 0.9797827434894594, 'xsmm_local_avg': 168.50983333333332, 'xsmm_local_best': 167.72799999999995, 'xsmm_upstream_avg': 164.98468749999998, 'xsmm_upstream_best': 164.337}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m6.txt', 'speedup_avg': 1.0266993492427414, 'speedup_best': 1.028661381104374, 'xsmm_local_avg': 322.71697916666665, 'xsmm_local_best': 321.75699999999995, 'xsmm_upstream_avg': 331.3333125, 'xsmm_upstream_best': 330.97900000000004}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.00900715146122, 'speedup_best': 1.210387902695595, 'xsmm_local_avg': 1.9197708333333336, 'xsmm_local_best': 1.521, 'xsmm_upstream_avg': 1.9370624999999995, 'xsmm_upstream_best': 1.841}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0587447844228093, 'speedup_best': 1.0513900589721987, 'xsmm_local_avg': 1.1983333333333337, 'xsmm_local_best': 1.187, 'xsmm_upstream_avg': 1.268729166666667, 'xsmm_upstream_best': 1.248}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 64, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0007028695413016, 'speedup_best': 1.1043478260869566, 'xsmm_local_avg': 2.0451875000000004, 'xsmm_local_best': 1.84, 'xsmm_upstream_avg': 2.046625000000001, 'xsmm_upstream_best': 2.032}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.053682527545097, 'speedup_best': 1.1200361010830324, 'xsmm_local_avg': 1.1987916666666674, 'xsmm_local_best': 1.108, 'xsmm_upstream_avg': 1.2631458333333334, 'xsmm_upstream_best': 1.241}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.006494423266977, 'speedup_best': 1.224462365591398, 'xsmm_local_avg': 1.9183124999999999, 'xsmm_local_best': 1.488, 'xsmm_upstream_avg': 1.9307708333333327, 'xsmm_upstream_best': 1.822}
