{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'gimmik_avg': 1.1887083333333335, 'gimmik_best': 1.149, 'mat_file': 'example_mats_med/quad/p1/gauss-legendre/m460.txt'}
{'a_cols': 9, 'a_nonzero': 12, 'a_rows': 12, 'a_size': 108, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 2.573729166666666, 'gimmik_best': 2.49, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'gimmik_avg': 1.9368541666666659, 'gimmik_best': 1.856, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'gimmik_avg': 2.986875000000001, 'gimmik_best': 2.873, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'gimmik_avg': 2.4244375000000002, 'gimmik_best': 2.349, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'gimmik_avg': 3.853041666666666, 'gimmik_best': 3.724, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 9, 'a_nonzero': 36, 'a_rows': 12, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'gimmik_avg': 2.9114791666666675, 'gimmik_best': 2.851, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m0.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'gimmik_avg': 1.927208333333333, 'gimmik_best': 1.861, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m3.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'gimmik_avg': 2.9625000000000004, 'gimmik_best': 2.718, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m6.txt'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'gimmik_avg': 2.514624999999999, 'gimmik_best': 2.385, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m132.txt'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'gimmik_avg': 3.790833333333333, 'gimmik_best': 3.687, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m460.txt'}
{'a_cols': 16, 'a_nonzero': 16, 'a_rows': 16, 'a_size': 256, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 3.3161666666666676, 'gimmik_best': 3.187, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 3.9770000000000003, 'gimmik_best': 3.766, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'gimmik_avg': 14.616625, 'gimmik_best': 14.155, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 32, 'a_nonzero': 112, 'a_rows': 16, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.21875, 'gimmik_avg': 15.872812499999995, 'gimmik_best': 15.24, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 16, 'a_nonzero': 112, 'a_rows': 32, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.21875, 'gimmik_avg': 20.506583333333335, 'gimmik_best': 18.947, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 3.973875, 'gimmik_best': 3.763, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre/m0.txt'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 4.112770833333333, 'gimmik_best': 3.804, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre/m3.txt'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'gimmik_avg': 14.125479166666667, 'gimmik_best': 13.591, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre/m6.txt'}
{'a_cols': 32, 'a_nonzero': 128, 'a_rows': 16, 'a_size': 512, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 15.191208333333334, 'gimmik_best': 13.656, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre/m132.txt'}
{'a_cols': 16, 'a_nonzero': 128, 'a_rows': 32, 'a_size': 512, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 20.17870833333333, 'gimmik_best': 19.349, 'mat_file': 'example_mats_med/quad/p3/gauss-legendre/m460.txt'}
{'a_cols': 25, 'a_nonzero': 20, 'a_rows': 20, 'a_size': 500, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'gimmik_avg': 4.387520833333334, 'gimmik_best': 4.228, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 25, 'a_size': 500, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2, 'gimmik_avg': 16.496541666666662, 'gimmik_best': 15.582, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 50, 'a_size': 1000, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1, 'gimmik_avg': 22.94004166666666, 'gimmik_best': 22.242, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 50, 'a_nonzero': 220, 'a_rows': 25, 'a_size': 1250, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.176, 'gimmik_avg': 24.81977083333334, 'gimmik_best': 23.716, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 25, 'a_nonzero': 220, 'a_rows': 50, 'a_size': 1250, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.176, 'gimmik_avg': 36.31689583333333, 'gimmik_best': 35.037, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 25, 'a_nonzero': 100, 'a_rows': 20, 'a_size': 500, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2, 'gimmik_avg': 15.558812499999997, 'gimmik_best': 14.484000000000037, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre/m0.txt'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 25, 'a_size': 500, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2, 'gimmik_avg': 16.907500000000002, 'gimmik_best': 15.097, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre/m3.txt'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 50, 'a_size': 1000, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1, 'gimmik_avg': 30.10556250000001, 'gimmik_best': 29.354, 'mat_file': 'example_mats_med/quad/p4/gauss-legendre/m6.txt'}
