{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0015898434046178, 'speedup_best': 1.0010311547774906, 'xsmm_local_avg': 86.94514583333334, 'xsmm_local_best': 86.311, 'xsmm_upstream_avg': 87.08337499999999, 'xsmm_upstream_best': 86.4}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9973186794996336, 'speedup_best': 0.9991803120600206, 'xsmm_local_avg': 104.20860416666665, 'xsmm_local_best': 103.698, 'xsmm_upstream_avg': 103.9291875, 'xsmm_upstream_best': 103.613}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0055266908361409, 'speedup_best': 1.0070917970860847, 'xsmm_local_avg': 194.9026458333333, 'xsmm_local_best': 194.309, 'xsmm_upstream_avg': 195.9798125, 'xsmm_upstream_best': 195.687}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m0.txt', 'speedup_avg': 1.0251695615626228, 'speedup_best': 1.0244204757969817, 'xsmm_local_avg': 138.3193541666666, 'xsmm_local_best': 137.958, 'xsmm_upstream_avg': 141.80079166666675, 'xsmm_upstream_best': 141.327}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m3.txt', 'speedup_avg': 1.0140372442536172, 'speedup_best': 1.0136946386946388, 'xsmm_local_avg': 103.28327083333333, 'xsmm_local_best': 102.96, 'xsmm_upstream_avg': 104.73308333333334, 'xsmm_upstream_best': 104.37}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m6.txt', 'speedup_avg': 1.004366124779706, 'speedup_best': 1.0098530825777232, 'xsmm_local_avg': 194.93354166666666, 'xsmm_local_best': 193.442, 'xsmm_upstream_avg': 195.78464583333334, 'xsmm_upstream_best': 195.34799999999996}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0025458856088343, 'speedup_best': 1.0020456371916324, 'xsmm_local_avg': 123.42627083333333, 'xsmm_local_best': 123.189, 'xsmm_upstream_avg': 123.7405, 'xsmm_upstream_best': 123.441}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9992576943348265, 'speedup_best': 0.9946635801529042, 'xsmm_local_avg': 164.63343749999996, 'xsmm_local_best': 164.155, 'xsmm_upstream_avg': 164.5112291666667, 'xsmm_upstream_best': 163.279}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0055705482470583, 'speedup_best': 1.0073108913065358, 'xsmm_local_avg': 329.0183333333333, 'xsmm_local_best': 327.867, 'xsmm_upstream_avg': 330.85114583333336, 'xsmm_upstream_best': 330.264}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m0.txt', 'speedup_avg': 1.0722430494771162, 'speedup_best': 1.0735019934117924, 'xsmm_local_avg': 272.4795, 'xsmm_local_best': 271.394, 'xsmm_upstream_avg': 292.16424999999987, 'xsmm_upstream_best': 291.342}
