{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 546.2354375, 'gimmik_best': 543.945, 'mat_file': 'synth_mats/vary_row/q_16/r_512_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 1024, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'gimmik_avg': 3271.859249999999, 'gimmik_best': 3265.508, 'mat_file': 'synth_mats/vary_row/q_16/r_1024_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'gimmik_avg': 41.57454166666668, 'gimmik_best': 41.081, 'mat_file': 'synth_mats/vary_row/q_64/r_32_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'gimmik_avg': 77.95208333333336, 'gimmik_best': 77.76, 'mat_file': 'synth_mats/vary_row/q_64/r_64_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 135.16585416666666, 'gimmik_best': 134.604, 'mat_file': 'synth_mats/vary_row/q_64/r_128_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 263.4961041666666, 'gimmik_best': 262.341, 'mat_file': 'synth_mats/vary_row/q_64/r_256_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 550.9919583333335, 'gimmik_best': 548.947, 'mat_file': 'synth_mats/vary_row/q_64/r_512_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 1024, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'gimmik_avg': 3195.3468333333326, 'gimmik_best': 3190.165, 'mat_file': 'synth_mats/vary_row/q_64/r_1024_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 141.304, 'gimmik_best': 140.707, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_8.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 147.96154166666662, 'gimmik_best': 146.97, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 145.3410833333333, 'gimmik_best': 144.568, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_24.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 31, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 146.82554166666665, 'gimmik_best': 146.365, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_31.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 40, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 138.39583333333334, 'gimmik_best': 137.758, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_40.txt'}
