{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'gimmik_avg': 369.7850416666667, 'gimmik_best': 368.549, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m0.txt'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'gimmik_avg': 296.46747916666664, 'gimmik_best': 295.417, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m3.txt'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'gimmik_avg': 751.3424583333332, 'gimmik_best': 747.9639999999999, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m6.txt'}
{'a_cols': 1029, 'a_nonzero': 7056, 'a_rows': 343, 'a_size': 352947, 'a_unique': 48, 'alpha': 1.0, 'beta': 0.0, 'density': 0.019991670137442734, 'gimmik_avg': 1755.831, 'gimmik_best': 1752.7440000000001, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m132.txt'}
{'a_cols': 343, 'a_nonzero': 7056, 'a_rows': 1029, 'a_size': 352947, 'a_unique': 48, 'alpha': 1.0, 'beta': 0.0, 'density': 0.019991670137442734, 'gimmik_avg': 3064.156645833333, 'gimmik_best': 3058.422, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre/m460.txt'}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'gimmik_avg': 1.1942291666666667, 'gimmik_best': 1.157, 'mat_file': 'example_mats_med/quad/p1/gauss-legendre/m0.txt'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'gimmik_avg': 0.9269791666666668, 'gimmik_best': 0.916, 'mat_file': 'example_mats_med/quad/p1/gauss-legendre/m3.txt'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 64, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 1.3518541666666668, 'gimmik_best': 1.318, 'mat_file': 'example_mats_med/quad/p1/gauss-legendre/m6.txt'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'gimmik_avg': 0.9276041666666667, 'gimmik_best': 0.914, 'mat_file': 'example_mats_med/quad/p1/gauss-legendre/m132.txt'}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'gimmik_avg': 1.1848750000000001, 'gimmik_best': 1.162, 'mat_file': 'example_mats_med/quad/p1/gauss-legendre/m460.txt'}
{'a_cols': 9, 'a_nonzero': 12, 'a_rows': 12, 'a_size': 108, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 2.4796875000000003, 'gimmik_best': 2.389, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'gimmik_avg': 1.9069583333333335, 'gimmik_best': 1.842, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'gimmik_avg': 4.091916666666667, 'gimmik_best': 3.917, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'gimmik_avg': 2.4025416666666666, 'gimmik_best': 2.28, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'gimmik_avg': 3.8162083333333334, 'gimmik_best': 3.703, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 9, 'a_nonzero': 36, 'a_rows': 12, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'gimmik_avg': 2.8671875, 'gimmik_best': 2.748, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m0.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'gimmik_avg': 1.885416666666667, 'gimmik_best': 1.807, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m3.txt'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'gimmik_avg': 4.155583333333333, 'gimmik_best': 3.986, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m6.txt'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'gimmik_avg': 2.400333333333333, 'gimmik_best': 2.297, 'mat_file': 'example_mats_med/quad/p2/gauss-legendre/m132.txt'}
